['0', 'fail drip']
['1', 'fail drip']
['5', 'fail stub']
['6', 'fail drip']
['7', 'fail drip']
['8', 'pass']
['9', 'fail drip']
['10', 'pass']
['12', 'pass']
['13', 'pass']
['14', 'fail stub']
['15', 'fail stub']
['16', 'fail stub']
['17', 'fail stub']
['18', 'fail stub']
['19', 'fail stub']
['20', 'pass']
['21', 'fail stub']
['22', 'fail stub']
['23', 'fail stub']
['24', 'fail stub']
['25', 'fail stub']
['26', 'fail stub']
['27', 'fail stub']
['28', 'fail stub']
['29', 'fail stub']
['30', 'pass']
